iter	Passed	Remaining
0	56	56726
1	57	28455
2	57	19034
3	57	14333
4	57	11504
5	58	9615
6	58	8267
7	58	7253
8	58	6464
9	58	5833
10	59	5320
11	59	4897
12	59	4542
13	60	4233
14	60	3961
15	60	3725
16	60	3517
17	61	3332
18	61	3164
19	61	3013
20	61	2880
21	62	2761
22	62	2648
23	62	2544
24	62	2449
25	63	2361
26	63	2279
27	63	2203
28	63	2133
29	63	2067
30	64	2005
31	64	1947
32	64	1892
33	64	1840
34	64	1792
35	65	1745
36	65	1702
37	65	1661
38	65	1623
39	66	1587
40	66	1551
41	66	1518
42	66	1486
43	67	1456
44	67	1430
45	67	1406
46	68	1381
47	68	1358
48	68	1336
49	69	1314
50	69	1293
51	69	1274
52	70	1254
53	70	1235
54	70	1215
55	70	1196
56	71	1177
57	71	1159
58	71	1142
59	71	1125
60	72	1111
61	72	1098
62	72	1085
63	73	1071
64	73	1057
65	73	1042
66	73	1029
67	74	1014
68	74	1001
69	74	989
70	74	977
71	74	965
72	75	953
73	75	942
74	75	931
75	75	920
76	75	910
77	76	901
78	76	891
79	76	881
80	76	872
81	77	863
82	77	854
83	77	845
84	77	836
85	77	827
86	77	818
87	78	810
88	78	802
89	78	795
90	78	788
91	79	780
92	79	773
93	79	766
94	79	759
95	79	753
96	80	746
97	80	740
98	80	733
99	80	727
100	81	721
101	81	714
102	81	708
103	81	702
104	81	697
105	82	691
106	82	686
107	82	681
108	82	675
109	82	670
110	83	665
111	83	660
112	83	655
113	83	651
114	84	646
115	84	641
116	84	636
117	84	632
118	84	627
119	85	623
120	85	619
121	85	615
122	85	609
123	85	605
124	85	601
125	86	597
126	86	594
127	86	589
128	86	585
129	87	582
130	87	580
131	87	577
132	88	574
133	88	571
134	88	567
135	88	564
136	89	560
137	89	556
138	89	553
139	89	551
140	90	548
141	90	545
142	90	542
143	90	539
144	90	536
145	91	533
146	91	530
147	91	527
148	91	524
149	92	521
150	92	518
151	92	515
152	92	513
153	92	510
154	93	507
155	93	504
156	93	502
157	93	499
158	93	497
159	94	494
160	94	491
161	94	489
162	94	487
163	95	484
