iter	Passed	Remaining
0	57	57566
1	57	28878
2	58	19308
3	58	14528
4	58	11666
5	58	9758
6	59	8405
7	59	7379
8	59	6581
9	59	5939
10	60	5419
11	60	4983
12	60	4613
13	61	4297
14	61	4022
15	61	3781
16	61	3570
17	61	3382
18	62	3213
19	62	3060
20	62	2923
21	62	2797
22	63	2683
23	63	2578
24	63	2481
25	63	2394
26	64	2316
27	64	2239
28	64	2167
29	65	2102
30	65	2039
31	65	1980
32	65	1925
33	65	1873
34	66	1824
35	66	1777
36	66	1733
37	66	1691
38	67	1652
39	67	1615
40	67	1579
41	67	1546
42	68	1514
43	68	1483
44	68	1454
45	68	1426
46	69	1399
47	69	1374
48	69	1352
49	69	1329
50	70	1306
51	70	1284
52	70	1262
53	70	1242
54	71	1223
55	71	1203
56	71	1184
57	71	1167
58	72	1149
59	72	1132
60	72	1116
61	72	1101
62	72	1085
63	73	1070
64	73	1056
65	73	1042
66	73	1029
67	74	1016
68	74	1004
69	74	991
70	74	979
71	75	968
72	75	956
73	75	945
74	75	934
75	76	924
76	76	913
77	76	903
78	76	893
79	76	884
80	77	874
81	77	865
82	77	855
83	77	846
84	77	838
85	78	830
86	78	821
87	78	813
88	78	805
89	78	798
90	79	790
91	79	783
92	79	775
93	79	768
94	79	761
95	80	755
96	80	748
97	80	742
98	80	735
99	81	729
100	81	723
101	81	717
102	81	711
103	81	705
104	82	700
105	82	694
106	82	689
107	82	683
108	82	678
109	83	673
110	83	668
111	83	663
112	83	658
113	84	653
114	84	648
115	84	643
116	84	638
117	84	634
118	85	629
119	85	625
120	85	621
121	85	616
122	85	612
123	86	608
124	86	604
125	86	600
126	86	595
127	86	592
128	87	588
129	87	584
130	87	580
131	87	577
132	88	573
133	88	570
134	88	566
135	88	563
136	88	559
137	89	556
138	89	552
139	89	549
140	89	546
141	89	542
142	90	539
143	90	536
144	90	533
145	90	531
146	90	527
147	91	525
148	91	522
149	91	519
150	91	516
151	92	513
152	92	511
153	92	508
154	92	505
155	92	503
156	93	500
157	93	497
158	93	495
159	93	492
160	93	489
161	94	487
162	94	484
163	94	482
164	94	479
